CityStateID,Zip,Population,Latitude,Longitude
9608,01003,13510,42.39135,-72.52327
9627,01005,5204,42.42117,-72.10655
9630,01007,15419,42.28163,-72.40009
9640,01008,1327,42.18234,-72.95819
9642,01009,804,42.21133,-72.34189
9651,01010,3705,42.12904,-72.20597
9673,01011,1175,42.30233,-72.96448
9674,01012,397,42.38495,-72.84675
9676,01013,23284,42.16059,-72.60788
9676,01020,30167,42.17618,-72.56538
9676,01022,1844,42.19721,-72.54249
9685,01026,1014,42.46858,-72.92296
9720,01027,17716,42.29506,-72.74303
9710,01028,16321,42.05967,-72.49899
9712,01029,539,42.19402,-73.05067
9729,01030,12305,42.06869,-72.67967
9739,01031,1676,42.32782,-72.19191
9743,01032,509,42.45313,-72.81965
9745,01033,6080,42.26082,-72.50361
9746,01034,2332,42.0826,-72.95611
9751,01035,5306,42.35563,-72.5692
9753,01036,4946,42.0638,-72.4157
9757,01037,572,42.37063,-72.19466
9761,01038,2491,42.38466,-72.60559
9764,01039,1506,42.41049,-72.69188
9772,01040,37813,42.21251,-72.64109
9780,01050,2529,42.29092,-72.87526
9795,01053,2304,42.35205,-72.71032
9800,01054,1608,42.47381,-72.48768
9807,01056,20904,42.19211,-72.45805
9842,01057,8176,42.09118,-72.32392
9881,01060,16492,42.32218,-72.63126
9732,01062,9816,42.32146,-72.69244
9881,01063,2272,42.31962,-72.63951
9875,01066,115,42.40742,-72.64032
9889,01068,1639,42.35125,-72.04776
9896,01069,8821,42.18798,-72.30578
9903,01070,575,42.51958,-72.92504
9928,01071,1054,42.16029,-72.8598
9946,01072,1521,42.46327,-72.41893
9968,01073,6230,42.23084,-72.73856
9950,01074,368,42.3837,-72.10021
9960,01075,17754,42.25672,-72.57928
9972,01077,9217,42.05441,-72.77851
9989,01079,438,42.18508,-72.33406
9990,01080,2454,42.18228,-72.36515
10002,01081,1747,42.06232,-72.23085
10005,01082,10392,42.29816,-72.27676
10007,01083,2858,42.20652,-72.19906
10022,01084,97,42.38589,-72.88165
10038,01085,41102,42.15375,-72.76961
10025,01088,702,42.38981,-72.6465
10030,01089,28772,42.12532,-72.65025
10035,01092,1200,42.20008,-72.23715
10046,01093,225,42.44335,-72.65099
