zip,population,latitude,longitude
01084,97,42.38589,-72.88165
01085,41102,42.15375,-72.76961
01088,702,42.38981,-72.6465
01089,28772,42.12532,-72.65025
01092,1200,42.20008,-72.23715
01093,225,42.44335,-72.65099
01094,52,42.36481,-72.13548
01095,14618,42.12763,-72.42994
01096,2580,42.40968,-72.77213
01097,143,42.17722,-72.83175
01098,979,42.39551,-72.94315
01103,2477,42.10443,-72.58997
01104,23209,42.13326,-72.56733
01105,11843,42.09911,-72.57865
01106,15853,42.04877,-72.57163
01107,12009,42.12116,-72.60642
01108,27405,42.0814,-72.55866
01109,31124,42.11839,-72.54876
01118,14839,42.09476,-72.5253
01119,13616,42.12452,-72.51126
01128,2896,42.09497,-72.48806
01129,5672,42.1211,-72.4877
01144,0,42.10189,-72.59091
01151,9606,42.15294,-72.50883
01201,44848,42.45614,-73.28114
01220,8074,42.62686,-73.11873
01222,664,42.06242,-73.32146
01223,2495,42.31118,-73.09835
01224,228,42.50622,-73.19841
01225,3216,42.56385,-73.1512
01226,6256,42.47954,-73.15329
01229,263,42.29411,-73.35227
01230,8826,42.18197,-73.34244
01235,2489,42.43181,-73.07336
01236,1458,42.26923,-73.37999
01237,2302,42.5529,-73.25373
01238,5944,42.30072,-73.22553
01240,5111,42.37567,-73.26466
01242,29,42.3334,-73.24967
01243,173,42.34752,-73.03467
01244,271,42.10924,-73.27475
01245,692,42.19043,-73.21579
01247,14794,42.69813,-73.09264
01253,936,42.20751,-73.1118
01254,1036,42.37972,-73.36608
01255,994,42.1068,-73.12213
01256,795,42.59627,-73.01958
01257,2348,42.0976,-73.37241
01258,193,42.09396,-73.46616
01259,688,42.07316,-73.23282
01260,20,42.26663,-73.2712
01262,1778,42.30433,-73.32013
01264,188,42.23997,-73.19686
01266,1000,42.30264,-73.39846
01267,9633,42.66593,-73.24209
01270,1036,42.51297,-73.04859
01301,17876,42.62375,-72.60379
01330,1704,42.51772,-72.81556
01331,13922,42.56793,-72.18324
01337,2589,42.69512,-72.57731
01338,95,42.5814,-72.80309
01339,1313,42.61099,-72.88846
01340,1759,42.68805,-72.73205
01341,1622,42.50734,-72.70221
01342,1267,42.54384,-72.6058
01343,147,42.66766,-72.98822
01344,1703,42.60756,-72.42916
01346,454,42.6706,-72.81323
01347,165,42.56027,-72.51321
01349,741,42.56656,-72.47045
01350,122,42.72259,-72.98291
01351,2636,42.54162,-72.52069
01354,1740,42.63282,-72.51136
01355,958,42.45101,-72.33141
01360,2872,42.67575,-72.446
01364,7658,42.60449,-72.29263
01366,1185,42.48858,-72.18564
01367,563,42.69674,-72.91387
01368,1455,42.67815,-72.18557
01370,3878,42.59607,-72.72915
01373,4860,42.47292,-72.61516
01375,3641,42.46475,-72.55489
01376,4976,42.59273,-72.54591
01378,776,42.67711,-72.34057
01379,778,42.54149,-72.3989
01380,36,42.58675,-72.40264
01420,41839,42.58559,-71.81693
01430,6481,42.66069,-71.9232
01431,3211,42.67652,-71.82322
01432,8521,42.56351,-71.57059
01434,1564,42.53149,-71.61663
01436,3720,42.60579,-72.08958
01438,330,42.56028,-72.03583
01440,21276,42.58797,-71.98649
01450,11356,42.61368,-71.56139
01451,5487,42.50005,-71.57754
01452,4371,42.48378,-72.00514
01453,43851,42.51961,-71.76583
01460,10280,42.53503,-71.4891
01462,11919,42.58994,-71.72036
01463,11697,42.67126,-71.60429
01464,6976,42.57411,-71.6475
01468,4183,42.55324,-72.06879
01469,6820,42.66514,-71.69161
01473,8374,42.55122,-71.90266
01474,2280,42.67088,-71.7508
01475,10265,42.66675,-72.04902
01501,16877,42.19689,-71.84549
01503,3378,42.38378,-71.63552
01504,9255,42.0399,-71.53125
01505,4948,42.35633,-71.72123
01506,3460,42.19364,-72.10441
01507,13435,42.13509,-71.96803
01510,15563,42.4119,-71.68883
01515,2166,42.20328,-72.04669
01516,9376,42.0528,-71.75106
01518,2598,42.11342,-72.11632
01519,8058,42.20077,-71.67892
01520,16912,42.33685,-71.85181
01521,2583,42.06012,-72.16592
01522,3152,42.38142,-71.87111
01523,8606,42.48176,-71.68079
01524,6327,42.24919,-71.91989
01525,0,42.09899,-71.64296
01527,13961,42.19228,-71.77397
01529,3160,42.03906,-71.57767
01531,973,42.31929,-72.12794
01532,15750,42.32314,-71.64621
01534,6230,42.13991,-71.64433
01535,4760,42.2695,-72.07794
01536,6860,42.23189,-71.69219
01537,2278,42.16177,-71.89217
01540,10979,42.11649,-71.85819
01541,3529,42.45649,-71.88128
01542,2615,42.20241,-71.90995
01543,9353,42.38482,-71.96726
01545,38876,42.28419,-71.71558
01550,17928,42.06039,-72.03377
01560,4984,42.17496,-71.67762
01561,0,42.44581,-71.68845
01562,12008,42.24715,-71.99189
01564,8183,42.44124,-71.77297
01566,7362,42.1047,-72.07745
01568,8011,42.17694,-71.60516
01569,14304,42.05895,-71.63741
01570,17748,42.05206,-71.8485
01571,11929,42.05501,-71.93519
01581,21944,42.26815,-71.61402
01583,7606,42.37034,-71.78502
01585,4810,42.23762,-72.16311
01588,10258,42.11837,-71.66836
01590,9422,42.13387,-71.75179
01602,27092,42.27219,-71.84946
01603,20868,42.24373,-71.84429
01604,39812,42.25085,-71.7683
01605,30579,42.28979,-71.78802
01606,22844,42.31367,-71.79614
01607,8706,42.22684,-71.79037
01608,4932,42.2621,-71.80145
01609,22047,42.28592,-71.82853
01610,30444,42.24645,-71.80968
01611,2299,42.23945,-71.87702
01612,5002,42.31037,-71.93095
01701,32618,42.32195,-71.43796
01702,39789,42.28242,-71.43428
01718,404,42.52165,-71.42983
01719,5496,42.48837,-71.51779
01720,23526,42.48397,-71.43809
01721,18873,42.25726,-71.46867
01730,14707,42.4995,-71.27799
01731,2110,42.46422,-71.28202
01740,5737,42.43616,-71.60728
01741,5239,42.53001,-71.35128
01742,18448,42.46221,-71.36504
01745,586,42.29155,-71.50101
01746,15094,42.19775,-71.44499
01747,6027,42.12477,-71.535
01748,19358,42.2255,-71.53781
01749,20077,42.38868,-71.54648
01752,41647,42.3494,-71.54681
01754,10712,42.4264,-71.45607
01756,6325,42.09301,-71.55146
01757,30609,42.15723,-71.51978
01760,36782,42.28436,-71.34966
01770,4427,42.23416,-71.37532
01772,9907,42.30144,-71.5304
01773,4891,42.42572,-71.31013
01775,7165,42.42983,-71.51146
01776,19270,42.38456,-71.42316
01778,14033,42.3583,-71.35895
01801,41939,42.48694,-71.15415
01803,26274,42.5028,-71.20147
01810,35648,42.64669,-71.16517
01821,30143,42.54999,-71.25206
01824,26650,42.59156,-71.35553
01826,32629,42.68323,-71.30063
01827,3408,42.67643,-71.50052
01830,26530,42.7959,-71.05323
01832,26386,42.79099,-71.13133
01833,8432,42.72409,-70.9821
01834,6777,42.75198,-71.01486
01835,14782,42.75292,-71.08602
01840,8522,42.70695,-71.16014
01841,52769,42.71077,-71.16494
01843,27445,42.68985,-71.16095
01844,53420,42.73426,-71.18858
01845,32494,42.67132,-71.08669
01850,17740,42.65569,-71.30292
01851,33403,42.62915,-71.33674
01852,37144,42.63231,-71.29538
01854,30081,42.64939,-71.34827
01860,6748,42.83858,-71.01194
01862,12129,42.57427,-71.29437
01863,9796,42.63274,-71.39132
01864,15765,42.58156,-71.08759
01867,25612,42.53505,-71.1055
01876,31004,42.61206,-71.22733
01879,12550,42.66626,-71.42911
01880,27793,42.50348,-71.06559
01886,24690,42.58642,-71.44008
01887,23336,42.56091,-71.16541
01890,23406,42.45177,-71.14628
01901,2419,42.46125,-70.94639
01902,50066,42.4712,-70.93983
01904,21003,42.49151,-70.97166
01905,28221,42.46355,-70.9733
01906,28773,42.46922,-71.01299
01907,15277,42.47572,-70.90684
01908,3325,42.42856,-70.92614
01913,17403,42.85297,-70.94459
01915,41994,42.56841,-70.8647
01921,8250,42.6815,-71.01887
